Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
NLIT,Northern Lights Acquisition Corp. Class A Common Stock,$10.13,-0.0075,-0.074%,150969163,3898,,,
NLITW,Northern Lights Acquisition Corp. Warrants,$0.2598,-0.0001,-0.038%,0,1800,,,
NLOK,NortonLifeLock Inc. Common Stock,$30.11,1.04,3.578%,17519843954,8468545,Technology,Computer Software: Prepackaged Software,
NMFC,New Mountain Finance Corporation Common Stock,$13.71,0.05,0.366%,1348391867,641034,Finance,Finance/Investors Services,
NMIH,NMI Holdings Inc. Class A Common Stock,$21.14,0.08,0.38%,1814653013,480586,Finance,Property-Casualty Insurers,
NMMC,North Mountain Merger Corp. Class A Common Stock,$9.87,0,0.00%,163163438,32,,,
NMMCU,North Mountain Merger Corp. Unit,$10.00,-0.02,-0.20%,0,634,,,
NMMCW,North Mountain Merger Corp. Warrant,$0.2401,-0.0449,-15.754%,0,752,,,
NMRK,Newmark Group Inc. Class A Common Stock,$15.38,-0.25,-1.599%,2756964047,1036789,Finance,Real Estate,
NMTC,NeuroOne Medical Technologies Corporation Common Stock,$1.92,0.02,1.053%,31084838,22601,Health Care,Medical Specialities,
NMTR,9 Meters Biopharma Inc. Common Stock,$0.5222,-0.0084,-1.583%,133509603,1861082,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
NN,NextNav Inc. Common Stock,$6.92,0.46,7.121%,660689311,65799,Capital Goods,Industrial Machinery/Components,
NNAVW,NextNav Inc. Warrant,$1.55,0.05,3.333%,0,6340,Capital Goods,Industrial Machinery/Components,
NNBR,NN Inc. Common Stock,$2.95,0.1,3.509%,126929650,183202,,,
NOAC,Natural Order Acquisition Corp. Common Stock,$9.84,0.02,0.204%,282900000,4642,,,
NOACU,Natural Order Acquisition Corp. Unit,$9.9504,0.0104,0.105%,0,1615,,,
NOACW,Natural Order Acquisition Corp. Warrant,$0.1663,-0.0002,-0.12%,0,1654,,,
NODK,NI Holdings Inc. Common Stock,$17.31,0.16,0.933%,366911813,4344,Finance,Property-Casualty Insurers,
NOTV,Inotiv Inc. Common Stock,$20.34,1.82,9.827%,517843403,313750,Health Care,Biotechnology: Pharmaceutical Preparations,
NOVN,Novan Inc. Common Stock,$3.11,-0.14,-4.308%,58517424,130541,Health Care,Biotechnology: Pharmaceutical Preparations,
NOVT,Novanta Inc. Common Stock,$128.04,4.3,3.475%,4561895035,89201,,,
NPCE,Neuropace Inc. Common Stock,$7.52,-0.82,-9.832%,184019965,72149,Health Care,Medical Specialities,
NRAC,Noble Rock Acquisition Corporation Class A Ordinary Share,$9.76,-0.01,-0.102%,294630000,310149,Finance,Business Services,
NRACU,Noble Rock Acquisition Corporation Unit,$9.84,-0.02,-0.203%,0,164488,Finance,Business Services,
NRACW,Noble Rock Acquisition Corporation Warrant,$0.21,-0.0101,-4.589%,0,10568,Finance,Business Services,
NRBO,NeuroBo Pharmaceuticals Inc. Common Stock,$0.7724,0.0474,6.538%,20540576,504421,Health Care,Biotechnology: Pharmaceutical Preparations,
NRC,National Research Corporation Common Stock (Delaware),$37.19,0.62,1.695%,936981484,37907,Health Care,Managed Health Care,
NRDS,NerdWallet Inc. Class A Common Stock,$10.49,0.58,5.853%,690607482,158858,Technology,Advertising,
NRIM,Northrim BanCorp Inc Common Stock,$44.81,0.06,0.134%,266255867,16233,Finance,Savings Institutions,
NRIX,Nurix Therapeutics Inc. Common stock,$13.44,0.5,3.864%,601275602,1400221,Health Care,Biotechnology: Pharmaceutical Preparations,
NRXP,NRX Pharmaceuticals Inc. Common Stock,$3.10,-0.06,-1.899%,206568702,394442,Health Care,Biotechnology: Pharmaceutical Preparations,
NRXPW,NRX Pharmaceuticals Inc. Warrant,$1.40,0.08,6.061%,0,9182,Health Care,Biotechnology: Pharmaceutical Preparations,
NSEC,National Security Group Inc. Common Stock,$15.95,-0.15,-0.932%,40395480,2521,Finance,Property-Casualty Insurers,
NSIT,Insight Enterprises Inc. Common Stock,$105.35,1.39,1.337%,3676346380,187997,Technology,EDP Services,
NSSC,NAPCO Security Technologies Inc. Common Stock,$20.13,0.84,4.355%,739410248,157724,Miscellaneous,Diversified Manufacture,
NSTG,NanoString Technologies Inc. Common Stock,$27.99,0.28,1.01%,1285994672,697105,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
NSTS,NSTS Bancorp Inc. Common Stock,$12.10,0.09,0.749%,65315304,13841,Finance,Major Banks,
NSYS,Nortech Systems Incorporated Common Stock,$11.11,0.2086,1.914%,29686631,624,Capital Goods,Industrial Machinery/Components,
NTAP,NetApp Inc. Common Stock,$82.10,1.71,2.127%,18270243038,1549829,Technology,Electronic Components,
NTCT,NetScout Systems Inc. Common Stock,$31.08,0.52,1.702%,2294645973,415964,Technology,EDP Services,
NTGR,NETGEAR Inc. Common Stock,$23.58,0.35,1.507%,692321062,199706,Public Utilities,Telecommunications Equipment,
NTIC,Northern Technologies International Corporation Common Stock,$12.30,-0.32,-2.536%,113202386,4735,Basic Industries,Major Chemicals,
NTLA,Intellia Therapeutics Inc. Common Stock,$58.27,-0.53,-0.901%,4351162321,1643080,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
NTNX,Nutanix Inc. Class A Common Stock,$22.79,0.65,2.936%,5026701898,1335295,Technology,EDP Services,
NTRA,Natera Inc. Common Stock,$30.32,-5.57,-15.52%,2894677627,8018251,Health Care,Medical Specialities,
NTRB,Nutriband Inc. Common Stock,$3.30,-0.02,-0.602%,25654075,29362,Health Care,Biotechnology: Pharmaceutical Preparations,
NTRBW,Nutriband Inc. Warrant,$4.45,-0.02,-0.447%,0,419,Health Care,Biotechnology: Pharmaceutical Preparations,
NTRS,Northern Trust Corporation Common Stock,$111.24,1.36,1.238%,23126610118,994776,Finance,Trusts Except Educational Religious and Charitable,
NTRSO,Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock,$23.45,-0.1,-0.425%,0,40509,Finance,Trusts Except Educational Religious and Charitable,
NTUS,Natus Medical Incorporated Common Stock,$25.46,0.13,0.513%,876031601,152833,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
NTWK,NetSol Technologies Inc. Common  Stock,$3.71,-0.05,-1.33%,41726515,5116,Technology,Computer Software: Prepackaged Software,
NUBIU,Nubia Brand International Corp. Unit,$10.00,0.02,0.20%,0,147932,Finance,Business Services,
